Season,Date,site,banding_nest_no.,zoo_aviary_id,life_stage,Band_Number,Current_band,Bands_at_banding,Sex_given,Sexing_method,sex_questioned,sex_verified,Infertile,Weight_g,Head_Bill_Length,Bill,Tarsus,Tarsus_width_plane_of_body,Wing_Length,blood_taken,moult_scored,fat,lice,faecal_sample,photo,new_bands_applied,age_at_banding_days,Colour_band_type,Colour_band_depth_over_metal_band,Colour_bands_fused_with_THF,bander,comments
2020/2021,12/12/2020,2nd restoration,NA,NA,chick,C69065,YpG-RM,YpG-RM,Male,DNA Jana,NA,male,NA,67,51.8,17.9,15.3,NA,109,NA,NA,NA,NA,NA,NA,1,19,but,all 4.0 mm,All glued with plastic fix,Troy Makan,NA
2021/2022,30/12/2021,Te Arai aviary,yellow,NA,chick,C69070,M-RY,M-RY,NA,DNA-Massey,NA,male,NA,57,51.6,18.7,16,3.2,98,NA,NA,NA,NA,NA,NA,1,21,but,all 4 mm,All glued with plastic fix,Tony Beauchamp,NA
2021/2022,30/12/2021,Te Arai aviary,red,NA,chick,C69071,RK-RM,RK-RM,NA,DNA-Massey,NA,male,NA,57,48,17.4,15.1,2.8,82,NA,NA,NA,NA,NA,NA,1,20,but,all 4 mm,All glued with plastic fix,Tony Beauchamp,NA
2021/2022,30/12/2021,Te Arai aviary,purple,NA,chick,C69073,RB-WM,RB-WM,NA,DNA-Massey,NA,male,NA,52,47.6,17.6,15.3,3.3,75,NA,NA,NA,NA,NA,NA,1,18,but,all 4 mm,All glued with plastic fix,Tony Beauchamp,NA
2021/2022,2/01/2022,Dredge,451,NA,chick,C69074,YM-pGR,YM-pGR,NA,DNA-Massey,NA,male,NA,60,48.1,17.9,15,3.2,96,NA,NA,NA,NA,NA,NA,1,18,but,all 4 mm,All glued with plastic fix,Tony Beauchamp,NA
2021/2022,2/01/2022,Dredge,450,NA,chick,C69075,WB-YM,WB-YM,NA,DNA-Massey,NA,male,NA,58,49.9,18.1,16.5,3,100,NA,NA,NA,NA,NA,NA,1,19,but,all 4 mm,All glued with plastic fix,Tony Beauchamp,NA
2021/2022,2/01/2022,Dredge,451,NA,chick,C69077,BpG-RM,BpG-RM,NA,DNA-Massey,NA,male,NA,66,49.9,19.1,15.4,3.2,105,NA,NA,NA,NA,NA,NA,1,17,but,all 4 mm,All glued with plastic fix,Tony Beauchamp,NA
2021/2022,18/01/2022,Dredge,456,NA,chick,C69079,RpG-KM,RpG-KM,NA,DNA-Massey,NA,male,NA,43,46.2,15.7,17,2.8,92,NA,NA,NA,NA,NA,NA,1,19,but,3.2 band and 4 mm non-band leg,All glued with plastic fix,Tony Beauchamp,NA
2021/2022,18/01/2022,Dredge,456,NA,chick,C69080,RW-BM,RW-BM,NA,DNA-Massey,NA,male,NA,56,49.2,17.7,15.4,3.1,97,NA,NA,NA,NA,NA,NA,1,17,but,3.2 band and 4 mm non-band leg,All glued with plastic fix,Tony Beauchamp,NA
2021/2022,18/01/2022,Dredge,454,NA,chick,C69081,BR-BM,BR-BM,NA,DNA-Massey,NA,male,NA,58,51,17.8,16.1,3,109,NA,NA,NA,NA,NA,NA,1,20,but,3.2 band and 4 mm non-band leg,All glued with plastic fix,Tony Beauchamp,NA
2021/2022,15/02/2022,NA,NA,NA,dead,C69080,RW-BM,RW-BM,NA,NA,NA,male,NA,NA,NA,NA,15,NA,120,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,likely death during cyclone 12/02/2022
2021/2022,10/01/2022,NA,451,NA,dead,C69074,YM-pGR,YM-pGR,NA,NA,NA,male,NA,44,48.8,18.3,16,2.5,116,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2009/2010,23/12/2010,NA,NA,NA,adult,C28709,M-YW,M-YW,NA,NA,NA,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,replaced colour bands
2022/2023,2/12/2022,Papakanui,458,NA,chick,C75834,RpG-YM,RpG-YM,male,Canterbury,NA,male,NA,unknown,50.5,17.4,16.9,,113,NA,NA,NA,NA,NA,NA,1,27,but,all colours 4 mm,All glued with plastic fix,David Wilson,
2022/2023,16/01/2023,Te Arai aviary,,green,chick,C69085,BM-RY,BM-RY,Female,Canterbury,NA,female,NA,60,54,20,18.2,2.4,131,NA,NA,NA,NA,NA,NA,1,27,but,weld 4 mm high,Welded,"Ayla Wiles supervised, TB & TM present",
2022/2023,16/01/2023,Te Arai aviary,,blue,chick,C69086,LB-RM,LB-RM,Male,Canterbury,NA,male,NA,55,59.4,23.1,16,2.6,160,NA,NA,NA,NA,NA,NA,1,33,but,weld 4 mm high,Welded,"Ayla Wiles supervised, TB & TM present",
2022/2023,16/01/2023,Te Arai aviary,,purple,chick,C69087,M-RY,M-RY,Male,Canterbury,NA,male,NA,55,57.6,21.2,19,2.9,143,NA,NA,NA,NA,NA,NA,1,28,but,weld 4 mm high,Welded,"Ayla Wiles supervised, TB & TM present",
2022/2023,16/01/2023,Te Arai aviary,,red,chick,C69088,YM-RK,YM-RK,Female,Canterbury,NA,female,NA,53,60,22.4,17.8,2.4,161,NA,NA,NA,NA,NA,NA,1,33,but,weld 4 mm high,Welded,"Ayla Wiles supervised, TB & TM present",
2022/2023,16/01/2023,Te Arai aviary,,little P,chick,C69089,LY-YM,LY-YM,Male,Canterbury,NA,male,NA,53,47.9,17.1,17.1,2.9,90,NA,NA,NA,NA,NA,NA,1,18,but,weld 4 mm high,Welded,"Ayla Wiles supervised, TB & TM present",
2022/2023,16/01/2023,Te Arai aviary,,brown,chick,C69090,KL-BM,KL-BM,Female,Canterbury,NA,female,NA,58,55.3,21.1,18.9,2.4,136,NA,NA,NA,NA,NA,NA,1,27,but,weld 4 mm high,Welded,"Ayla Wiles supervised, TB & TM present",
2022/2023,16/01/2023,Te Arai aviary,,aqua,chick,C69091,LM-BL,LM-BL,Male,Canterbury,NA,male,NA,57,55,22,16.4,2.9,128,NA,NA,NA,NA,NA,NA,1,26,but,weld 4 mm high,Welded,"Ayla Wiles supervised, TB & TM present",
2022/2023,16/01/2023,Te Arai aviary,,pink,chick,C69092,KM-KY,KM-KY,Female,Canterbury,NA,female,NA,61,53.9,20.8,17.1,2.8,131,NA,NA,NA,NA,NA,NA,1,28,but,weld 4 mm high,Welded,"Ayla Wiles supervised, TB present",
2022/2023,28/01/2023,Waipu,469,NA,chick,C69093,BY-KM,BY-KM,Male,Canterbury,NA,male,NA,64,49.4,19.1,17,3.2,109,NA,NA,NA,NA,NA,NA,1,20,but,weld 4 mm high,Welded,"Ayla Wiles supervised, TB & TM present",
2022/2023,28/01/2023,Waipu,469,NA,chick,C69094,YL-BM,YL-BM,Male,Canterbury,NA,male,NA,57,47.4,16.5,19.2,3.1,85,NA,NA,NA,NA,NA,NA,1,16,but,weld 4 mm high,Welded,"Ayla Wiles supervised, TB & TM present",
2022/2023,17/02/2023,Waipu,NA,NA,dead,C69093,BY-KM,BY-KM,male,NA,NA,male,NA,NA,58.3,23.7,NA,,168,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,likely died cyclone Gabrielle 14/02/2023. degraded amphipods eaten rhamphotheca
2022/2023,17/02/2023,Waipu,NA,NA,dead,C69094,YL-BM,YL-BM,male,NA,NA,male,NA,NA,56.4,20,NA,,151,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,likely died cyclone Gabrielle 14/02/2023. degraded amphipods eaten rhamphotheca
2023/2024,30/12/2023,mangawhai,478,NA,Chick,C69095,RY-RM,RY-RM,male,Canterbury,NA,male,NA,51,52.7,20,17,3,110,NA,NA,NA,NA,NA,NA,1,20,but,weld 4 mm high,Welded,Tony Beauchamp,
2023/2024,30/12/2023,mangawhai,475,NA,Chick,C69096,WM-WK,WM-WK,female,Canterbury,NA,female,NA,57,52.3,20,16.1,3,119,NA,NA,NA,NA,NA,NA,1,20,but,weld 4 mm high,Welded,Tony Beauchamp,
2023/2024,9/01/2024,Te Arai aviary,NA,blue,Chick,C69097,BM-WB,BM-WB,Male,Canterbury,NA,male,NA,64,52.9,21.5,16.3,2.1,115,NA,NA,NA,NA,NA,NA,1,19,but,weld 4 mm high,Welded,Tony Beauchamp,
2023/2024,9/01/2024,Te Arai aviary,NA,lime,Chick,C69098,LM-BW,LM-BW,female,Canterbury,NA,female,NA,52,51.7,19.5,16.7,2.7,112,NA,NA,NA,NA,NA,NA,1,20,but,weld 4 mm high,Welded,Tony Beauchamp,
2023/2024,9/01/2024,Te Arai aviary,NA,yellow,Chick,C69099,YM-LY,YM-LY,male,Canterbury,NA,male,NA,55,51,18.6,16.7,2.8,101,NA,NA,NA,NA,NA,NA,1,19,but,weld 4 mm high,Welded,Tony Beauchamp,
2023/2024,9/01/2024,Te Arai aviary,NA,red,Chick,C69100,RM-WY,RM-WY,male,Canterbury,NA,male,NA,58,53.9,28,17,2.9,113,NA,NA,NA,NA,NA,NA,1,19,but,weld 4 mm high,Welded,Tony Beauchamp,
2023/2024,13/01/2024,waipu,482,NA,Chick,C106951,KL-LM,KL-LM,female ,Canterbury,NA,female,NA,50.5,52,17.7,16.4,2.9,93,NA,NA,NA,NA,NA,NA,1,19,but,weld 4 mm high,Welded,Tony Beauchamp,
2023/2024,16/01/2024,mangawhai,480,NA,Chick,C106952,WM-LR,WM-LR,male,Canterbury,NA,male,NA,58,51.6,17.9,16.3,3.2,103,NA,NA,NA,NA,NA,NA,1,18,but,weld 4 mm high,Welded,Tony Beauchamp,
2023/2024,16/01/2024,mangawhai,480,NA,Chick,C106953,YL-YM,YL-YM,male,Canterbury,NA,male,NA,49,52.3,19.6,16,2.9,108,NA,NA,NA,NA,NA,NA,1,19,but,weld 4 mm high,Welded,Tony Beauchamp,
2023/2024,19/01/2024,mangawhai,479,NA,Chick,C106954,RK-KM,RK-KM,male,Canterbury,NA,male,NA,43,48.8,18.1,17.6,3.2,100,NA,NA,NA,NA,NA,NA,1,18,but,weld 4 mm high,Welded,Tony Beauchamp,
2023/2024,26/01/2024,mangawhai,484,NA,Chick,C106955,BW-RM,BW-RM,female,Canterbury,NA,female,NA,62,48.6,17.6,15.8,2.9,100,NA,NA,NA,NA,NA,NA,1,19,but,weld 4 mm high,Welded,Tony Beauchamp,
2023/2024,27/01/2024,mangawhai,483,NA,Chick,C106956,WB-LM,WB-LM,male,Canterbury,NA,male,NA,54,49,17.9,16.4,2.5,91,NA,NA,NA,NA,NA,NA,1,20,but,weld 4 mm high,Welded,Tony Beauchamp,
2023/2024,27/01/2024,mangawhai,485,NA,Chick,C106957,LM-YK,LM-YK,male,Canterbury,NA,male,NA,54,50.6,19.3,16.6,2.8,104,NA,NA,NA,NA,NA,NA,1,20,but,weld 4 mm high,Welded,Tony Beauchamp,
1992/1993,5/01/1993,NA,NA,NA,chick,C43801,M-B,M-B,unknown,Unknown,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,NA,NA,no,NA,NA
1992/1993,15/01/1993,NA,NA,NA,chick,C43802,M-pG,M-pG,unknown,Unknown,NA,unknown,NA,64,49.4,18.2,16.6,NA,103.7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,no,NA,NA
1993/1994,27/01/1994,NA,NA,NA,chick,C43773,M-G,M-G,unknown,Unknown,NA,unknown,NA,60,51,1.8,16,NA,105,NA,NA,NA,NA,NA,NA,1,18,NA,NA,no,NA,NA
1995/1996,16/01/1996,NA,NA,NA,chick,C43855,YR-M,YR-M,unknown,Unknown,NA,unknown,NA,58,47.9,18,18.5,NA,97,NA,NA,NA,NA,NA,NA,1,18,NA,NA,no,NA,NA
1995/1996,16/01/1996,NA,NA,NA,chick,C43856,WR-M,WR-M,unknown,Unknown,NA,unknown,NA,60,49.1,19.2,18.5,NA,109.5,NA,NA,NA,NA,NA,NA,1,20,NA,NA,no,NA,NA
1995/1996,16/01/1996,NA,NA,NA,chick,C43857,YB-M,YB-M,unknown,Unknown,NA,unknown,NA,52.5,48.1,16.4,18,NA,94,NA,NA,NA,NA,NA,NA,1,18,NA,NA,no,NA,NA
1995/1996,16/01/1996,NA,NA,NA,chick,C43858,YpG-M,YpG-M,unknown,Unknown,NA,unknown,NA,44.5,45.7,15.3,20,NA,77,NA,NA,NA,NA,NA,NA,1,16,NA,NA,no,NA,NA
1995/1996,26/01/1996,NA,NA,NA,chick,C43861,YW-M,YW-M,unknown,Unknown,NA,unknown,NA,47,46.5,16.6,18.9,NA,85,NA,NA,NA,NA,NA,NA,1,19,NA,NA,no,NA,NA
2001/2002,29/12/2001,NA,NA,NA,chick,C28701,M-pGW,M-pGW,unknown,Unknown,NA,unknown,NA,58,49,17.9,19.1,NA,95,NA,NA,NA,NA,NA,NA,1,18,NA,NA,no,NA,NA
2001/2002,29/12/2001,NA,NA,NA,chick,C28702,M-pGB,M-pGB,unknown,Unknown,NA,unknown,NA,49,44.8,15.7,18.6,NA,72,NA,NA,NA,NA,NA,NA,1,16,NA,NA,no,NA,NA
2001/2002,27/11/2001,NA,NA,NA,chick,C41564,M-BR,M-BR,unknown,Unknown,NA,unknown,NA,54,46.92,15.27,18.65,NA,96,NA,NA,NA,NA,NA,NA,1,17,NA,NA,no,NA,NA
2004/2005,31/12/2004,NA,NA,NA,chick,C69001,Y-YM,Y-YM,unknown,Unknown,NA,unknown,NA,60,50.71,17.56,18.2,NA,116,NA,NA,NA,NA,NA,NA,1,17,NA,NA,no,Katrina Hansen,NA
2004/2005,12/01/2005,NA,NA,NA,chick,C69002,R-BM,R-BM,unknown,Unknown,NA,unknown,NA,58,49.77,17.64,18.89,NA,97,NA,NA,NA,NA,NA,NA,1,18,NA,NA,no,Katrina Hansen,NA
2004/2005,12/01/2005,NA,NA,NA,chick,C69003,W-RM,w-RM,unknown,Unknown,NA,unknown,NA,58.5,48.16,17.23,17.69,NA,99,NA,NA,NA,NA,NA,NA,1,18,but,NA,no,Katrina Hansen,NA
2006/2007,16/02/2007,NA,NA,NA,chick,C69019,KW-M,KW-M,unknown,not sexed,NA,unknown,NA,48,48,16,15.97,NA,106.9,NA,NA,NA,NA,NA,NA,1,15,but,NA,no,Tony Beauchamp,NA
2006/2007,16/02/2007,NA,NA,NA,chick,C69020,KB-M,KB-M,unknown,not sexed,NA,unknown,NA,53,53,15.5,15.55,NA,107,NA,NA,NA,NA,NA,NA,1,16,but,NA,no,Tony Beauchamp,NA
2008/2009,5/01/2009,NA,NA,NA,chick,C69026,WM-R,WM-R,unknown,not sexed,NA,unknown,NA,69,49.8,16.9,16.4,NA,97,NA,NA,NA,NA,NA,NA,1,19,but,4 mm white,no,Tony Beauchamp,NA
2017/2018,26/01/2018,beach,NA,NA,chick,C69053,KM-YB,KM-YB,unknown,DNA,NA,unknown,NA,46,48.3,16.6,16,3.2,92,NA,NA,NA,NA,NA,NA,1,18,but,3.5 mm black and blue,Tetrahydrofuran & glue,Tony Beauchamp,NA
2018/2019,3/01/2019,beach,NA,NA,chick,C69054,BM-pGB,BM-pGB,female,DNA,likely m,male,NA,67,51.5,19.8,16.8,NA,109,NA,NA,NA,NA,NA,NA,1,19,but,4 mm all colour bands,Tetrahydrofuran & glue,Tony Beauchamp,NA
2019/2020,21/12/2019,te Arai,NA,NA,chick,C69059,KM-WB,KM-WB,unknown,Unknown,NA,unknown,NA,55,48,17.2,16.9,3,100,NA,NA,NA,NA,NA,NA,1,18,but,4.5 Black,Tetrahydrofuran & glue,Tony Beauchamp,NA
2020/2021,15/01/2021,SSV,NA,NA,chick,C69068,RB-KM,RB-KM,unknown,Unknown,NA,unknown,NA,60,51.6,19.1,15.4,2.8,112,NA,NA,NA,NA,NA,NA,1,19,but,all 4.0 mm,All glued with plastic fix,Tony Beauchamp,NA
2024/2025,5/12/2024,te arai,,blue,chick,C106958,WM-BR,WM-BR,unknown,,,,NA,60.5,53.4,18.8,18.5,3.1,107,,,,,,,,,but,weld 3.5,,,
2024/2025,5/12/2024,te arai,,yellow,chick,C106959,KM-YL,KM-YL,unknown,,,,NA,60,52.9,19.7,16.5,2.6,106,,,,,,,,,but,weld 3.5,,,
2024/2025,5/12/2024,te arai,,red,chick,C106960,LM-RY,LM-RY,unknown,,,,NA,54,50.3,18.5,17,2.8,100,,,,,,,,,but,weld 3.5,,,
2024/2025,5/12/2024,te arai,,green,chick,C106961,BM-LY,BM-LY,unknown,,,,NA,54,50.8,18,16.5,2.9,83,,,,,,,,,but,weld 3.5,,,
2024/2025,12/12/2024,te arai,,,chick,C106962,RM-WL,RM-WL,unknown,,,,NA,64,52.5,20,16.5,3.1,106,,,,,,,,,but,weld 3.5,,,
2024/2025,21/12/2024,mangawhai,489,,chick,C106963,YM-KL,YM-KL,unknown,,,,NA,60.1,51.4,17.5,16.4,3,104,,,,,,,,19,but,weld 3.5,,,
2024/2025,21/12/2024,mangawhai,489,,chick,C106964,WM-BK,WM-BK,unknown,,,,NA,60,51.6,19.8,17.2,2.8,114,,,,,,,,20,but,weld 3.5,,,
2024/2025,23/12/2024,te arai,,orange,chick,C106965,RM-YR,RM-YR,unknown,,,,NA,54,50.7,18.2,16,2.9,107,,,,,,,,,but,weld 3.5,,,
2024/2025,23/12/2024,te arai,,black,chick,C106966,BM-BR,BM-BR,unknown,,,,NA,51,50.9,18.9,16.8,3,104,,,,,,,,,but,weld 3.5,,,
2024/2025,27/12/2024,te arai,,purple,chick,C106967,YM-KB,YM-KB,unknown,,,,NA,62,50.3,18.5,20,3.4,111,,,,,,,,,but,weld 3.5,,,
2024/2025,29/12/2024,mangawhai,492,,chick,C106968,KM-RW,KM-RW,unknown,,,,NA,65,50.7,18.8,18.6,2.9,87,,,,,,,,18,but,weld 3.5,,,
2024/2025,29/12/2024,waipu,493,,chick,C106969,LM-WR,LM-WR,unknown,,,,NA,61,50.3,17.2,16,2.8,87,,,,,,,,18,but,weld 3.5,,,
2024/2025,29/12/2024,waipu,493,,chick,C106970,WR-WM,WR-WM,unknown,,,,NA,51,52,19.4,16,2.8,100,,,,,,,,17,but,weld 3.5,,,
2024/2025,31/12/2024,mangawhai,494 ex 492 nest,,chick,C106971,M-LK,M-LK,unknown,,,,NA,45,45.2,16.7,14.1,2.9,78,,,,,,,,19,but,weld 3.5,,,
2024/2025,31/12/2024,mangawhai,495,,chick,C106972,W-LM,W-LM,unknown,,,,NA,63,53.4,19.5,16,3,116,,,,,,,,20,but,weld 3.5,,,
2024/2025,31/12/2024,mangawhai,495,,chick,C106973,WY-RM,WY-RM,unknown,,,,NA,64,52.2,18.6,16.5,3,111,,,,,,,,19,but,weld 3.5,,,
2024/2025,1/01/2025,mangawhai,496,,chick,C106974,BY-BM,BY-BM,unknown,,,,NA,55,49.5,16.9,16.1,3,101,,,,,,,,18,but,weld 3.5,,,
2024/2025,1/01/2025,mangawhai,496,,chick,C106975,YB-KM,YB-KM,unknown,,,,NA,56,51.7,18.7,16.9,3,110,,,,,,,,18,but,weld 3.5,,,
2024/2025,7/01/2025,Papakanui,498,,chick,C106976,M-WL,M-WL,unknown,,,,NA,49,45.8,15.5,15.4,2.9,80,,,,,,,,18,but,weld 3.5,,,
2024/2025,7/01/2025,Papakanui,498,,chick,C106977,RY-LM,RY-LM,unknown,,,,NA,71,52.3,18.5,18.4,3.1,119,,,,,,,,20,but,weld 3.5,,,
2024/2025,14/02/2025,mangawhai,502,,chick,C106978,BM-KW,BM-KW,unknown,,,,NA,55,48.8,17.8,17,3.1,96,,,,,,,,19,but,weld 3.5,,,
